mean_multiplicity,geometric_s,interleaving_depth_D,g_D,total_nu_integral,expected_event_count,target_e,instant_e,rho_D,rho_crit,residual_e,e_acc_at_tau_min,status,schedule_risk_e,schedule_p_mission,schedule_pass_count,fixed_over_schedule_gain,residual_utilization,schedule_mean_tau_seconds,schedule_min_tau_seconds,schedule_max_tau_seconds,saturated_at_tau_min,saturated_at_tau_max,c_value
1.5,0.333333333333,1,0.333333333333,309956.953914,206637.969276,0.0100503358535,68879.3230919,6853434.95938,0.889555251388,-68879.3130416,0.00111000681681,architecture_change_required,,,,,,,,,,,
1.5,0.333333333333,2,0.111111111111,309956.953914,206637.969276,0.0100503358535,22959.774364,2284478.31979,0.889555251388,-22959.7643136,0.00111000681681,architecture_change_required,,,,,,,,,,,
1.5,0.333333333333,4,0.0123456790123,309956.953914,206637.969276,0.0100503358535,2551.08604044,253830.924422,0.889555251388,-2551.07599011,0.00111000681681,architecture_change_required,,,,,,,,,,,
1.5,0.333333333333,8,0.000152415790276,309956.953914,206637.969276,0.0100503358535,31.4948893882,3133.71511632,0.889555251388,-31.4848390523,0.00111000681681,architecture_change_required,,,,,,,,,,,
1.5,0.333333333333,12,1.88167642316e-06,309956.953914,206637.969276,0.0100503358535,0.388825794916,38.6878409422,0.889555251388,-0.378775459062,0.00111000681681,architecture_change_required,,,,,,,,,,,
1.5,0.333333333333,16,2.32305731254e-08,309956.953914,206637.969276,0.0100503358535,0.00480031845575,0.477627665953,0.889555251388,0.00525001739775,0.00111000681681,scrub_period_selectable,0.00524995681656,0.00523619987824,5434830,5.80575289383,0.999988460764,46.3906991603,1,120,true,false,0.0920964347525
1.5,0.333333333333,20,2.86797199079e-10,309956.953914,206637.969276,0.0100503358535,5.92631908117e-05,0.00589663785127,0.889555251388,0.00999107266269,0.00111000681681,scrub_period_selectable,0.00999035407253,0.00994061625588,2562150,12.3151571922,0.999928076775,87.102888828,1,120,true,false,0.180224167928
1.5,0.333333333333,24,3.54070616147e-12,309956.953914,206637.969276,0.0100503358535,7.31644331009e-07,7.27979981638e-05,0.889555251388,0.0100496042092,0.00111000681681,scrub_period_selectable,0.0100495217793,0.00999919406619,2547390,12.3865132547,0.999991797698,87.4139056225,1,120,true,false,0.181657936867
1.5,0.333333333333,25,1.18023538716e-12,309956.953914,206637.969276,0.0100503358535,2.4388144367e-07,2.42659993879e-05,0.889555251388,0.0100500919721,0.00111000681681,scrub_period_selectable,0.0100500200784,0.00999968738256,2547270,12.3870967742,0.999992846464,87.4173284045,1,120,true,false,0.181666094473
1.5,0.333333333333,28,4.37124217466e-14,309956.953914,206637.969276,0.0100503358535,9.03264606184e-09,8.98740718072e-07,0.889555251388,0.0100503268209,0.00111000681681,scrub_period_selectable,0.0100502692452,0.00999993405782,2547210,12.3873885545,0.999994271269,87.4180129609,1,120,true,false,0.18166879408
