kind,policy,scenario,burst_duration_seconds,rate_cv2,achieved_rate_cv2_mean,achieved_rate_cv2_max,seed,risk_e,p_mission,risk_utilization,target_met,pass_count,fixed_over_policy_gain,mean_tau_seconds,min_tau_seconds,max_tau_seconds,observed_corrections,high_activity_events,relax_events,max_k_per_pass,p_cache_entries
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260638,0.00686388961876,0.00684038693244,0.682951268377,true,6457168,4.88655088423,24.4327572087,1,600,310135,297078,276742,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260638,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260639,0.00684778312261,0.00682439048213,0.6813486855,true,6454817,4.88833068389,24.4416571376,1,600,309723,296741,276744,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260639,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260640,0.00686036633487,0.006836887743,0.68260070458,true,6452576,4.89002841656,24.4501533961,1,600,309983,296985,276615,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260640,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260641,0.00686791625507,0.00684438601694,0.683351915317,true,6465601,4.88017741893,24.4008949825,1,600,310461,297429,277419,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260641,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260642,0.0068251333348,0.00680189501056,0.679095050582,true,6467096,4.87904926724,24.3952474186,1,600,310616,297648,277373,4,5
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260642,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260643,0.00687043287549,0.00684688540949,0.683602316941,true,6455297,4.88796719965,24.4398369277,1,600,310014,296902,276618,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260643,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260644,0.0068256366568,0.00680239490889,0.6791451307,true,6485805,4.86497512645,24.3248759406,1,600,310822,297846,278114,4,5
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260644,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260645,0.00685885634645,0.00683538807708,0.682450461997,true,6452088,4.89039827107,24.4519929052,1,600,309683,296671,276827,6,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260645,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260646,0.00676070729739,0.00673790513101,0.672684713819,true,6442124,4.89796222488,24.4898195067,1,600,309199,296363,276312,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260646,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260647,0.00671893102353,0.00669640947495,0.668528009558,true,6474832,4.87321987659,24.3661089585,1,600,310534,297719,277541,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260647,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260648,0.00680399352153,0.00678089876615,0.676991656867,true,6467294,4.87889989229,24.3945017808,1,600,310374,297386,277348,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260648,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260649,0.00679090700088,0.00676790089882,0.675689559022,true,6484258,4.86613580151,24.330679316,1,600,311150,298241,278038,5,6
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,20260649,0.00110176858357,0.0011011618594,0.109625051304,true,157766400,0.2,1,1,1,,,,,
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,20260650,0.00680701351116,0.00678389827301,0.677292143306,true,6447158,4.89413785113,24.4706906516,1,600,309456,296529,276286,5,6
