kind,policy,scenario,burst_duration_seconds,rate_cv2,seed_count,target_met_count,target_met_fraction,sampled_all_pass,sampled_p99_pass,risk_utilization_mean,risk_utilization_p95,risk_utilization_p99,risk_utilization_max,p_mission_mean,p_mission_p95,p_mission_p99,pass_count_mean,pass_count_p95,pass_count_max,fixed_over_policy_gain_mean,observed_corrections_mean,observed_corrections_p99,high_activity_events_mean,relax_events_mean
policy,measured_q16_high1_max3600,burst_1800s_cv2_0.1,1800,0.1,5,5,1,true,true,0.705998434061,0.713490514818,0.714660401388,0.714952873031,0.00707040626407,0.00714516989323,0.00715684389239,6436614.8,6445203.8,6446484,4.90216097366,309696.8,310071.48,296262.6,276126.8
policy,measured_q16_high1_max3600,burst_1800s_cv2_0.25,1800,0.25,5,5,1,true,true,0.743058196025,0.748597128267,0.748765399501,0.748807467309,0.00744016724152,0.00749542072178,0.0074970992334,6417428.6,6420821.2,6421310,4.91681194184,310061.6,310448.12,296005.8,275589.4
policy,measured_q16_high1_max3600,burst_1800s_cv2_0.5,1800,0.5,5,5,1,true,true,0.791446237279,0.80933511685,0.812636448773,0.813461781754,0.00792274178095,0.00810109413631,0.00813400688813,6374698.4,6388121.8,6389136,4.94979186865,309618.8,310107.76,294828.6,274109.8
policy,measured_q16_high1_max3600,burst_1800s_cv2_0.75,1800,0.75,5,5,1,true,true,0.843880782859,0.850621653283,0.851182557859,0.851322784003,0.0084454188018,0.00851259412966,0.00851818348024,6352461.2,6378796.6,6384450,4.96713821671,310496,311610.36,294773.4,273563.6
policy,measured_q16_high1_max3600,burst_1800s_cv2_1,1800,1,5,5,1,true,true,0.883144102966,0.891577701302,0.892387005348,0.892589331359,0.00883661560143,0.00892062810599,0.00892868944799,6308740,6322997,6323217,5.00153588165,309929,310779.64,293609.6,271985.2
policy,measured_q16_high1_max3600,burst_300s_cv2_0.1,300,0.1,5,5,1,true,true,0.733542850712,0.740494059493,0.741495674723,0.741746078531,0.00734524153372,0.00741458897865,0.00742458109723,6415635.6,6424551.6,6425753,4.91819012101,309738.2,310073.76,295810.2,275512.8
policy,measured_q16_high1_max3600,burst_300s_cv2_0.25,300,0.25,5,5,1,true,true,0.809986122009,0.815384828153,0.816130030187,0.816316330695,0.00810758656193,0.00816140461203,0.00816883312197,6379881.6,6386559.8,6387648,4.94575073225,310077.2,310527,294861.4,274325.4
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,5,5,1,true,true,0.940546664254,0.954038421168,0.95628203917,0.956842943671,0.00940826834263,0.00954258277688,0.00956491765882,6311772.8,6322278,6323206,4.99913037043,310539.4,310953.2,293177.6,272166.2
policy,measured_q16_high1_max3600,burst_300s_cv2_0.75,300,0.75,5,0,0,false,false,1.07186843775,1.07454275046,1.07461486727,1.07463289647,0.0107148203551,0.0107414101198,0.0107421271336,6222487.4,6234666.2,6235955,5.07085908976,309682.8,310306.64,290243.4,268764
policy,measured_q16_high1_max3600,burst_300s_cv2_1,300,1,5,0,0,false,false,1.19843254358,1.20518343078,1.20567221937,1.20579441652,0.0119724014655,0.0120394371443,0.0120442905349,6166627.2,6178026.4,6179145,5.11679803985,310172,310640.04,288827.6,267006.6
policy,measured_q16_high1_max3600,burst_600s_cv2_0.1,600,0.1,5,5,1,true,true,0.722625246151,0.72805400181,0.728751126319,0.728925407446,0.00723631606883,0.00729048164678,0.00729743699404,6435340.8,6451800.4,6454952,4.9031436043,310219.8,310704.64,296500.2,276191
policy,measured_q16_high1_max3600,burst_600s_cv2_0.25,600,0.25,5,5,1,true,true,0.789613269863,0.802273687327,0.803691974925,0.804046546824,0.00790446859529,0.00803069961541,0.00804483978828,6381425,6395537,6396957,4.94457152078,309971.2,310347.12,295127,274402
policy,measured_q16_high1_max3600,burst_600s_cv2_0.5,600,0.5,5,5,1,true,true,0.89530370499,0.911159273341,0.912970193376,0.913422923385,0.00895773273227,0.00911565387736,0.00913368893922,6318079.8,6329812,6332848,4.99413354661,310199.6,310874.36,293574.4,272399.4
policy,measured_q16_high1_max3600,burst_600s_cv2_0.75,600,0.75,5,2,0.4,false,false,0.998379929895,1.01080997667,1.01150710153,1.01168138275,0.00998387242651,0.0101075514627,0.0101144870759,6251736,6262567,6264425,5.04712971488,310172,310449.56,291932.8,270174.6
policy,measured_q16_high1_max3600,burst_600s_cv2_1,600,1,5,0,0,false,false,1.09917247841,1.1111317836,1.11310296786,1.11359576393,0.0109862540998,0.0111051241401,0.0111247159274,6187481.2,6201247,6204468,5.09954706314,310075.8,310861.68,290274,268028.6
policy,measured_q16_high1_max3600,burst_900s_cv2_0.1,900,0.1,5,5,1,true,true,0.71868889934,0.72771345272,0.728763145751,0.729025569009,0.00719703898988,0.0072870837679,0.00729755686552,6431915.8,6447218.4,6451225,4.90574797917,309856.4,310800.68,296241.4,275975.2
policy,measured_q16_high1_max3600,burst_900s_cv2_0.25,900,0.25,5,5,1,true,true,0.77592119018,0.784575146401,0.785087973491,0.785216180263,0.00776793832848,0.00785423665971,0.00785935031221,6391834.6,6400381.4,6402652,4.93650239973,309984.4,310490.24,295369.4,274702.2
policy,measured_q16_high1_max3600,burst_900s_cv2_0.5,900,0.5,5,5,1,true,true,0.868230047985,0.883554761982,0.88629518133,0.886980286167,0.00868803748419,0.0088407088037,0.00886800885628,6336297.4,6351662.8,6353001,4.97979067845,310015.6,310639.64,293890.2,272916.8
policy,measured_q16_high1_max3600,burst_900s_cv2_0.75,900,0.75,5,5,1,true,true,0.94744779769,0.960398683753,0.962241655276,0.962702398157,0.00947697245924,0.00960589405195,0.00962423924682,6268606.4,6285034.2,6288792,5.03355597387,309355.2,310077.64,291984.2,270570.4
policy,measured_q16_high1_max3600,burst_900s_cv2_1,900,1,5,0,0,false,false,1.03590044073,1.04353274976,1.04425391218,1.04443420278,0.0103571372325,0.0104330486653,0.0104402210693,6224348,6231312.6,6232430,5.06933478096,309782.6,310206.4,291054.2,269131
policy,measured_q16_high1_max3600,poisson_sanity,0,0,5,5,1,true,true,0.680847877369,0.684273401602,0.684617957322,0.684704096252,0.00681939120907,0.00685358379624,0.00685702298599,6457828.6,6469634.4,6471299,4.88606025149,310031.8,310532.04,297043.6,276838
