kind,policy,scenario,burst_duration_seconds,rate_cv2,achieved_rate_cv2_mean,achieved_rate_cv2_p95,achieved_rate_cv2_max,seed_count,target_met_count,target_met_fraction,sampled_all_pass,sampled_p99_pass,risk_utilization_mean,risk_utilization_p95,risk_utilization_p99,risk_utilization_max,p_mission_mean,p_mission_p95,p_mission_p99,pass_count_mean,pass_count_p95,pass_count_max,fixed_over_policy_gain_mean,observed_corrections_mean,observed_corrections_p99,high_activity_events_mean,relax_events_mean
baseline_expected,always_tau_min_1s,burst_900s_cv2_1,900,1,0.600016586472,0.602827669526,2.98950848907,30,30,1,true,true,0.176917947673,0.188625913417,0.191329010056,0.192305743089,0.00177650178813,0.00189395796831,0.0019210730641,157766400,157766400,157766400,0.2,,,,
baseline_expected,always_tau_min_1s,poisson_sanity,0,0,0,0,0,30,30,1,true,true,0.109625051304,0.109625051304,0.109625051304,0.109625051304,0.0011011618594,0.0011011618594,0.0011011618594,157766400,157766400,157766400,0.2,,,,
policy,measured_q16_high1_max3600,burst_1800s_cv2_1,1800,1,0.333103141457,0.334553723596,0.999995760534,30,30,1,true,true,0.886227408521,0.903622128718,0.910691024065,0.913523092484,0.00886732905173,0.00904059174262,0.00911099074578,6309002.86667,6331044.2,6331631,5.00132815976,309827.9,310855.74,293473.066667,272175.833333
policy,measured_q16_high1_max3600,burst_1800s_cv2_2,1800,2,0.499761247497,0.502514474565,0.999999999998,30,0,0,false,false,1.07783655809,1.14876551109,1.2489793072,1.28001624138,0.0107740500877,0.0114790501029,0.0124740878343,6205723.36667,6226295.55,6227425,5.08456589876,309881.233333,310769.23,291034.2,268996.9
policy,measured_q16_high1_max3600,burst_1800s_cv2_4,1800,4,0.666413803644,0.668778653385,1,30,0,0,false,false,1.34254697441,1.44827368749,1.51099497026,1.52791476803,0.0134022584873,0.0144501882008,0.0150712461303,6083624.5,6103894.25,6111752,5.18661622372,310008.1,311040.44,288148.433333,265381.8
policy,measured_q16_high1_max3600,burst_1800s_cv2_8,1800,8,0.800429538707,0.802542705306,1,30,0,0,false,false,1.68452904849,1.79729963925,1.84490536083,1.86140432044,0.0167873186952,0.0179012953644,0.0183710416336,5968979.66667,5991345.6,5992967,5.28623794922,309906.333333,310717.32,285016.733333,262072.9
policy,measured_q16_high1_max3600,burst_300s_cv2_0.5,300,0.5,0.44016832606,0.441384878,3.68398386951,30,30,1,true,true,0.935162981962,0.951263944806,0.967135542104,0.971666850253,0.00935466742743,0.00951496424019,0.00967294762542,6298777.63333,6318752.6,6321027,5.00945011735,309853.966667,310880.2,292573.6,271558.633333
policy,measured_q16_high1_max3600,burst_300s_cv2_0.6,300,0.6,0.524087347576,0.525978420791,3.98507786126,30,25,0.833333333333,false,false,0.989565713351,1.00512580572,1.01230638604,1.01503678915,0.0098961696432,0.0100509995796,0.0101224379952,6269917.33333,6281587.4,6283528,5.03249845608,309952.6,310855.87,291804.5,270553.866667
policy,measured_q16_high1_max3600,burst_300s_cv2_0.65,300,0.65,0.565507793059,0.567661002789,4.97110936522,30,5,0.166666666667,false,false,1.01401514157,1.03873751072,1.05648813739,1.06286391983,0.0101394277046,0.0103853564436,0.0105618830176,6256527.3,6277422,6279005,5.04327610048,309982.433333,311102.19,291442.466667,270156.466667
policy,measured_q16_high1_max3600,burst_300s_cv2_0.7,300,0.7,0.606384413489,0.608232922098,4.49388055131,30,0,0,false,false,1.03546473166,1.05183112225,1.05982701915,1.06296407969,0.010352798314,0.0105155766795,0.010595088689,6243212.16667,6255739.1,6264623,5.05402443273,309945.966667,310826.96,291063.033333,269623.766667
policy,measured_q16_high1_max3600,burst_300s_cv2_0.75,300,0.75,0.646724125019,0.649320583892,5.64832838172,30,0,0,false,false,1.06206596401,1.07872199581,1.08134972851,1.08239541544,0.0106173445742,0.0107829608984,0.0108090852425,6227743.7,6247386.75,6254091,5.06658577793,309885.366667,310979.23,290611.6,269133.366667
policy,measured_q16_high1_max3600,burst_600s_cv2_0.5,600,0.5,0.384659508481,0.386128165175,3.43796577081,30,30,1,true,true,0.895121746212,0.910786174782,0.911347081477,0.911419699141,0.00895592406616,0.00911193930292,0.00911752522943,6313441.5,6335134.4,6351133,4.9978172753,310010.166667,311555.92,293420.566667,272243.633333
policy,measured_q16_high1_max3600,burst_600s_cv2_0.6,600,0.6,0.453996949169,0.456392310928,3.50856344568,30,30,1,true,true,0.935393355098,0.952120329382,0.954973931532,0.955090118875,0.00935696000156,0.00952349025332,0.0095518967774,6286554.56667,6304619.85,6309902,5.01919103117,309928.5,311128.07,292679.266667,271342.966667
policy,measured_q16_high1_max3600,burst_600s_cv2_0.65,600,0.65,0.488446575269,0.490608020399,3.70893526064,30,30,1,true,true,0.95676615488,0.968692055644,0.972542264461,0.973820325121,0.00956973276112,0.009688442152,0.00972676223117,6274370,6291853.65,6307884,5.02893389298,310009.366667,311474.8,292428.466667,270952.7
policy,measured_q16_high1_max3600,burst_600s_cv2_0.7,600,0.7,0.522748302902,0.525364651715,4.05378180603,30,30,1,true,true,0.980023661906,0.991836880063,0.997473473498,0.999361520483,0.00980121438099,0.00991877492925,0.00997486072896,6260181.13333,6277782.25,6281068,5.04032854997,309934.833333,310729.81,291989.466667,270415.833333
policy,measured_q16_high1_max3600,burst_600s_cv2_0.75,600,0.75,0.555316361014,0.558365873493,4.16355905797,30,16,0.533333333333,false,false,0.998172929798,1.02412144484,1.03539863846,1.03827427834,0.0099818099718,0.0102399741494,0.010352146866,6251206,6269802.15,6278270,5.04756866286,310030.533333,310729.64,291806.666667,270170.366667
policy,measured_q16_high1_max3600,burst_900s_cv2_0.75,900,0.75,0.47398297239,0.477470978457,2.91219268236,30,30,1,true,true,0.946679894233,0.967960893767,0.974468904803,0.976574814075,0.0094693255613,0.00968116481764,0.00974593674199,6279098.26667,6294851.35,6321704,5.02514795044,309860.6,311262.41,292486.933333,270933.266667
policy,measured_q16_high1_max3600,burst_900s_cv2_0.85,900,0.85,0.525870123946,0.528162256183,2.89604380636,30,29,0.966666666667,false,false,0.982666259693,0.997450954801,1.01317229864,1.0187928517,0.00982751128664,0.00997463686743,0.0101310496233,6259590.3,6275073.5,6288195,5.04081041391,309987.466667,310890.05,292056.6,270324.633333
policy,measured_q16_high1_max3600,burst_900s_cv2_0.9,900,0.9,0.551344975125,0.554377780909,2.91811231981,30,17,0.566666666667,false,false,0.999855647175,1.0162162043,1.02800922398,1.03226458315,0.0099985576412,0.0101613352536,0.010278645649,6251392.5,6270281,6271367,5.04742420412,310081.133333,311002.1,291884.6,270080.8
policy,measured_q16_high1_max3600,burst_900s_cv2_0.95,900,0.95,0.57561340398,0.578674210919,2.97468644575,30,4,0.133333333333,false,false,1.01749410623,1.03761072038,1.06067057222,1.06967516713,0.0101740382322,0.0103741495862,0.010603468104,6242321.03333,6257735.15,6258349,5.05475562302,310037.8,310845.31,291640.8,269780.3
policy,measured_q16_high1_max3600,burst_900s_cv2_1,900,1,0.600016586472,0.602827669526,2.98950848907,30,0,0,false,false,1.03955969032,1.06933187516,1.07922843151,1.08149413189,0.0103935199449,0.0106895991015,0.0107879952232,6227321.56667,6245554,6256040,5.06693029428,309888.133333,310972.4,291152.2,269222.1
policy,measured_q16_high1_max3600,poisson_sanity,0,0,0,0,0,30,30,1,true,true,0.680550731149,0.688718068286,0.693503784104,0.694970648979,0.00681642405731,0.00689794699577,0.00694571194377,6462227.56667,6483885.4,6485805,4.88273992612,310183.633333,311091.71,297188.1,277088.933333
