strategy,mission_cycles,schedule_updates,faults_injected,expected_passes,observed_pass_starts,completed_passes,reads,writes,corrected_events,detected_due_events,final_uncorrectable_words,final_sdc_words,final_dangerous_words,safe_mode_cycles,selected_mismatches,failures,log_path
fixed,216000,6,9,2160,2160,2160,17280,5,5,2090,1,1,2,0,0,0,results/rtl_replay/fault_replay_fixed.log
adaptive,216000,6,9,1098,1098,1098,8784,5,5,1096,1,1,2,0,0,0,results/rtl_replay/fault_replay_adaptive.log
