hour_index,timestamp_utc,excel_time,upsets_proton_raw,upsets_proton_filled,is_missing_proton,fill_method,background_proton_gp,event_proton_sp,gcl_ratio,skl_ratio,upsets_total_nu
40,2021-01-02T16:00:00Z,44198.6666667,0.678895685562,0.678895685562,false,raw,0.770888012934,0,10.7,3,9.01938975133
41,2021-01-02T17:00:00Z,44198.7083333,0.684006092034,0.684006092034,false,raw,0.760596851626,0,10.7,3,8.89898316403
42,2021-01-02T18:00:00Z,44198.75,0.73030751753,0.73030751753,false,raw,0.747271978113,0,10.7,3,8.74308214393
43,2021-01-02T19:00:00Z,44198.7916667,0.736066735007,0.736066735007,false,raw,0.735850102946,0.0002166320608,10.7,3,8.61031273271
44,2021-01-02T20:00:00Z,44198.8333333,0.690188563477,0.690188563477,false,raw,0.734333678521,0,10.7,3,8.59170403869
45,2021-01-02T21:00:00Z,44198.875,0.799862515633,0.799862515633,false,raw,0.734983574703,0.06487894093,10.7,3,8.85882358775
46,2021-01-02T22:00:00Z,44198.9166667,0.826797885478,0.826797885478,false,raw,0.735633470885,0.0911644145926,10.7,3,8.97156926773
47,2021-01-02T23:00:00Z,44198.9583333,0.921730018348,0.921730018348,false,raw,0.738078696899,0.183651321449,10.7,3,9.37012603951
48,2021-01-03T00:00:00Z,44199,0.950045424334,0.950045424334,false,raw,0.744114582573,0.205930841761,10.7,3,9.52986398315
49,2021-01-03T01:00:00Z,44199.0416667,0.9028903581,0.9028903581,false,raw,0.750150468248,0.152739889852,10.7,3,9.38772003791
50,2021-01-03T02:00:00Z,44199.0833333,1.0323968748,1.0323968748,false,raw,0.756186353923,0.276210520877,10.7,3,9.95222242441
51,2021-01-03T03:00:00Z,44199.125,1.10503535849,1.10503535849,false,raw,0.760596851626,0.344438506864,10.7,3,10.2767371915
52,2021-01-03T04:00:00Z,44199.1666667,1.12204233863,1.12204233863,false,raw,0.76500734933,0.3570349893,10.7,3,10.3787259444
53,2021-01-03T05:00:00Z,44199.2083333,1.17285417679,1.17285417679,false,raw,0.769417847033,0.403436329757,10.7,3,10.6159341293
54,2021-01-03T06:00:00Z,44199.25,0.925391947245,0.925391947245,false,raw,0.775262711345,0.1501292359,10.7,3,9.67109066634
55,2021-01-03T07:00:00Z,44199.2916667,0.921918454114,0.921918454114,false,raw,0.781824758963,0.140093695151,10.7,3,9.70772446047
56,2021-01-03T08:00:00Z,44199.3333333,0.859164524235,0.859164524235,false,raw,0.78838680658,0.0707777176554,10.7,3,9.5072365076
57,2021-01-03T09:00:00Z,44199.375,0.827825615288,0.827825615288,false,raw,0.793471606055,0.0343540092328,10.7,3,9.42103382778
58,2021-01-03T10:00:00Z,44199.4166667,0.774932643404,0.774932643404,false,raw,0.782064188039,0,10.7,3,9.15015100005
