policy,seed_count,target_met_count,target_met_fraction,risk_utilization_min,risk_utilization_mean,risk_utilization_p95,risk_utilization_max,p_mission_mean,p_mission_max,pass_count_min,pass_count_mean,pass_count_max,fixed_over_policy_gain_mean,current_over_policy_pass_ratio_mean
measured_q8_high1_max120,30,0,0,1.07245369204,1.0760312605,1.0786183649,1.08136574536,0.0107562091777,0.0108092446109,3571167,3586240.16667,3595337,8.79842914406,0.710273122162
measured_q16_high1_max120,30,30,1,0.652793207293,0.654492398768,0.65561856129,0.655868776125,0.00655628157026,0.00657002386863,6535359,6552740.4,6579365,4.81528003154,0.388724387739
measured_q16_high1_max3600,30,30,1,0.6779574924,0.681094456074,0.682998757103,0.68429515097,0.00682185273125,0.00685380092377,6434242,6456500.96667,6487005,4.88705572305,0.394518643016
measured_q32_high1_max120,30,30,1,0.387468575629,0.388949765982,0.389987527014,0.390752975896,0.00390144526385,0.00391949728381,12656433,12700080.3667,12750557,2.48449451413,0.200566447334
