direction,strategy,train_window,test_window,train_hours,test_hours,target_e_full,train_limit_e,test_limit_e,c_train,c_required_on_test,c_train_over_c_required_on_test,c_required_on_test_over_c_train,train_risk_e,train_risk_utilization,test_risk_e,test_risk_utilization,test_p_mission,test_pass_count,test_gain_vs_fixed_5s,test_min_tau_seconds,test_max_tau_seconds,verdict
early_to_late,current,early_2021_2023,late_2024_2025,26280,17544,0.0100503358535,0.00602689910163,0.00402343675187,0.157692654117,0.250202210308,0.630260835518,1.58664467732,0.00602686609715,0.999994523803,0.00290953491069,0.723146675373,0.00290530631606,863160,14.6342277214,1,120,pass
early_to_late,delayed_1h,early_2021_2023,late_2024_2025,26280,17544,0.0100503358535,0.00602689910163,0.00402343675187,0.15631813501,0.224564547635,0.696094448818,1.43658666105,0.00602681670077,0.999986327817,0.00322267640551,0.800976032248,0.00321748915767,867090,14.567899526,1,120,pass
early_to_late,forecast,early_2021_2023,late_2024_2025,26280,17544,0.0100503358535,0.00602689910163,0.00402343675187,0.156963627143,0.246097791163,0.637809979526,1.56786508851,0.00602688108996,0.999997011453,0.00300518498244,0.746919901511,0.00300067393403,873630,14.4588441331,1,120,pass
late_to_early,current,late_2024_2025,early_2021_2023,17544,26280,0.0100503358535,0.00402343675187,0.00602689910163,0.250202210308,0.157692654117,1.58664467732,0.630260835518,0.00402260291812,0.999792755847,0.00964700388476,1.60065793737,0.00960062081516,1250286,15.1338173826,2,300,fail
late_to_early,delayed_1h,late_2024_2025,early_2021_2023,17544,26280,0.0100503358535,0.00402343675187,0.00602689910163,0.224564547635,0.15631813501,1.43658666105,0.696094448818,0.00402339510886,0.999989649891,0.00894116791903,1.48354365458,0.00890131454418,1370262,13.8087460646,2,300,fail
late_to_early,forecast,late_2024_2025,early_2021_2023,17544,26280,0.0100503358535,0.00402343675187,0.00602689910163,0.246097791163,0.156963627143,1.56786508851,0.637809979526,0.00402309131637,0.999914144171,0.00956052936066,1.58630984183,0.00951497279705,1271688,14.8791212939,1,300,fail
