time_index,nu,nu_hat,dt_hours,tau_seconds,period_index,passes
0,1,1,1,10,3,360
1,30,30,1,10,3,360
2,1,1,1,10,3,360
3,30,30,1,10,3,360
4,1,1,1,10,3,360
5,30,30,1,10,3,360
