policy,seed,target_e,risk_e,p_mission,risk_utilization,target_met,pass_count,mean_tau_seconds,min_tau_seconds,max_tau_seconds,observed_corrections,high_activity_events,relax_events,q_cache_entries
measured_q16_high1_max120,20261655,0.0100503358535,0.0065894914434,0.00656782835369,0.655648879744,true,6535359,24.1404381917,1,120,309423,297047,281136,182727
measured_q16_high1_max120,20261656,0.0100503358535,0.00657913658669,0.00655754145264,0.654618580174,true,6547681,24.0950110428,1,120,309379,296860,281637,183200
measured_q16_high1_max120,20261657,0.0100503358535,0.00658095592077,0.00655934885472,0.654799602391,true,6556607,24.0622090054,1,120,310580,297859,281973,182963
measured_q16_high1_max120,20261658,0.0100503358535,0.00658318043259,0.00656155877273,0.655020939454,true,6553660,24.0730228605,1,120,310242,297503,281932,183217
measured_q16_high1_max120,20261659,0.0100503358535,0.00659170147588,0.00657002386863,0.655868776125,true,6541345,24.1183461505,1,120,309757,297236,281157,182996
measured_q16_high1_max120,20261660,0.0100503358535,0.00658187376433,0.0065602606774,0.654890927056,true,6555180,24.0674439146,1,120,310408,297658,282018,183221
measured_q16_high1_max120,20261661,0.0100503358535,0.00658784788016,0.00656619558376,0.655485346579,true,6548867,24.0906471303,1,120,309608,297262,281681,182911
measured_q16_high1_max120,20261662,0.0100503358535,0.0065797348119,0.00655813575478,0.654678103081,true,6548019,24.0937602655,1,120,309709,297136,281668,182927
measured_q16_high1_max120,20261663,0.0100503358535,0.00656904627248,0.00654751725551,0.653614602361,true,6550313,24.0853261516,1,120,309734,297171,281400,183147
measured_q16_high1_max120,20261664,0.0100503358535,0.00658529675501,0.00656366120656,0.655231511763,true,6557153,24.0602053971,1,120,309980,297348,281699,183493
measured_q16_high1_max120,20261665,0.0100503358535,0.00658256411235,0.00656094649633,0.654959616107,true,6540391,24.1218616746,1,120,309343,296955,281338,182957
measured_q16_high1_max120,20261666,0.0100503358535,0.0065813418954,0.00655973229754,0.654838006544,true,6553532,24.0734999081,1,120,309770,297326,281736,183107
measured_q16_high1_max120,20261667,0.0100503358535,0.00656291878535,0.00654142986956,0.653004922523,true,6560998,24.0460998464,1,120,310156,297568,282075,183324
measured_q16_high1_max120,20261668,0.0100503358535,0.00657070884277,0.00654916893872,0.653780026712,true,6547750,24.0947635447,1,120,309708,297283,281550,182843
measured_q16_high1_max120,20261669,0.0100503358535,0.00657918012761,0.00655758470804,0.654622912459,true,6543132,24.1117637547,1,120,309295,296809,281341,182653
measured_q16_high1_max120,20261670,0.0100503358535,0.00656525665946,0.00654375244791,0.653237539039,true,6579365,23.9789710709,1,120,311081,298458,282779,183073
